country,region,year,latitude,longitude,type_of_violence,best
Russia (Soviet Union),Europe,2001,43.318,45.6982,3,2
Russia (Soviet Union),Europe,2000,43.1607,45.4743,3,22
Russia (Soviet Union),Europe,2003,43.3058,45.7477,1,2
Russia (Soviet Union),Europe,2008,43.0952,45.3586,1,1
Russia (Soviet Union),Europe,2008,43.3476,44.702,1,3
Russia (Soviet Union),Europe,2008,43.3488,44.6971,1,6
Russia (Soviet Union),Europe,2008,43.0808,44.9843,1,4
Russia (Soviet Union),Europe,2008,41.7405,47.9588,1,1
Russia (Soviet Union),Europe,2008,43.318,45.6982,1,1
Moldova,Europe,1992,47.0,29.5,1,18
Russia (Soviet Union),Europe,2008,42.8496,47.6269,1,1
Russia (Soviet Union),Europe,2008,43.3058,45.7477,1,0
Russia (Soviet Union),Europe,2008,43.1609,45.6213,1,3
Russia (Soviet Union),Europe,2008,44.9892,38.9424,1,1
Russia (Soviet Union),Europe,2008,42.9595,46.1134,1,1
Russia (Soviet Union),Europe,2008,43.2911,45.3014,1,1
Russia (Soviet Union),Europe,2008,42.708,47.613,1,3
Russia (Soviet Union),Europe,2008,43.1933,44.8887,1,2
Russia (Soviet Union),Europe,2008,43.4052,44.8203,1,36
Russia (Soviet Union),Europe,2008,42.708,47.613,1,5
Russia (Soviet Union),Europe,2008,43.318,45.6982,1,3
Russia (Soviet Union),Europe,2008,42.4959,47.6089,1,2
Russia (Soviet Union),Europe,2008,43.2505,46.5851,1,1
Russia (Soviet Union),Europe,2008,43.318,45.6982,1,1
Russia (Soviet Union),Europe,2008,43.1217,45.4801,1,1
Russia (Soviet Union),Europe,2008,43.5096,44.5902,1,1
Russia (Soviet Union),Europe,2008,42.708,47.613,1,1
Russia (Soviet Union),Europe,2008,42.9849,47.5046,1,1
Russia (Soviet Union),Europe,2008,42.9849,47.5046,1,4
Russia (Soviet Union),Europe,2008,43.1217,45.4801,1,1
Russia (Soviet Union),Europe,2008,43.468,43.8396,1,1
Russia (Soviet Union),Europe,2008,43.3058,45.7477,1,1
Russia (Soviet Union),Europe,2008,43.2275,44.7646,1,1
Russia (Soviet Union),Europe,2008,45.0131,37.7528,1,4
Russia (Soviet Union),Europe,2008,42.8496,47.6269,1,1
Russia (Soviet Union),Europe,2008,43.318,45.6982,1,2
Russia (Soviet Union),Europe,2008,43.2505,46.5851,1,1
Russia (Soviet Union),Europe,2008,42.9849,47.5046,1,1
Russia (Soviet Union),Europe,2008,43.2953,45.8263,1,2
Russia (Soviet Union),Europe,2008,42.9849,47.5046,1,5
Russia (Soviet Union),Europe,2008,42.9849,47.5046,1,1
Russia (Soviet Union),Europe,2008,43.395,45.3032,1,2
Russia (Soviet Union),Europe,2008,42.9849,47.5046,1,1
Russia (Soviet Union),Europe,2008,43.2275,44.7646,1,2
Russia (Soviet Union),Europe,2008,43.1217,45.4801,1,2
Russia (Soviet Union),Europe,2008,43.318,45.6982,1,3
Russia (Soviet Union),Europe,2008,43.6819,43.535,1,1
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,1
Russia (Soviet Union),Europe,2008,42.9801,45.0131,1,12
Russia (Soviet Union),Europe,2008,43.1609,45.6213,1,1
Russia (Soviet Union),Europe,2008,42.9849,47.5046,1,1
Russia (Soviet Union),Europe,2009,43.3056,44.9094,1,1
Russia (Soviet Union),Europe,2009,43.5096,44.5902,1,2
Russia (Soviet Union),Europe,2009,43.123,45.7415,1,1
Russia (Soviet Union),Europe,2009,42.9809,46.3108,1,7
Russia (Soviet Union),Europe,2009,43.3204,45.0477,1,4
Russia (Soviet Union),Europe,2009,43.2962,46.7276,1,1
Russia (Soviet Union),Europe,2009,43.1627,45.201,1,4
Russia (Soviet Union),Europe,2009,59.9257,30.3152,1,2
Russia (Soviet Union),Europe,2009,43.157803,45.912594,1,1
Russia (Soviet Union),Europe,2009,43.2275,44.7646,1,1
Russia (Soviet Union),Europe,2009,43.1371,45.0893,1,1
Russia (Soviet Union),Europe,2009,43.187861,44.746127,1,1
Russia (Soviet Union),Europe,2009,43.2275,44.7646,1,0
Russia (Soviet Union),Europe,2009,43.2275,44.7646,1,1
Russia (Soviet Union),Europe,2009,45.5037,38.9501,1,1
Russia (Soviet Union),Europe,2009,43.2275,44.7646,1,1
Russia (Soviet Union),Europe,2009,43.2275,44.7646,1,1
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,2
Russia (Soviet Union),Europe,2009,42.7347,47.0886,1,4
Russia (Soviet Union),Europe,2009,42.4843,47.7534,1,4
Russia (Soviet Union),Europe,2009,42.9682,46.2423,1,2
Russia (Soviet Union),Europe,2009,42.3741,47.655,1,3
Russia (Soviet Union),Europe,2009,43.2275,44.7646,1,7
Russia (Soviet Union),Europe,2009,42.9849,47.5046,1,1
Russia (Soviet Union),Europe,2009,43.4052,44.8203,1,1
Russia (Soviet Union),Europe,2009,42.9849,47.5046,1,1
Russia (Soviet Union),Europe,2009,43.1276,45.5406,1,2
Russia (Soviet Union),Europe,2009,42.9849,47.5046,1,2
Russia (Soviet Union),Europe,2009,42.9849,47.5046,1,3
Russia (Soviet Union),Europe,2009,42.3741,47.655,1,1
Russia (Soviet Union),Europe,2009,43.0309,45.1003,1,1
Russia (Soviet Union),Europe,2009,43.3204,45.0477,1,1
Russia (Soviet Union),Europe,2009,42.9849,47.5046,1,17
Russia (Soviet Union),Europe,2009,43.3058,45.7477,1,4
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,2
Russia (Soviet Union),Europe,2009,43.3932,43.5629,1,3
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,2
Russia (Soviet Union),Europe,2009,42.9849,47.5046,1,4
Russia (Soviet Union),Europe,2009,43.3204,45.0477,1,10
Russia (Soviet Union),Europe,2009,43.3204,45.0477,1,1
Russia (Soviet Union),Europe,2009,43.4052,44.8203,1,0
Russia (Soviet Union),Europe,2009,43.2505,46.5851,1,3
Russia (Soviet Union),Europe,2009,43.3058,45.7477,1,1
Russia (Soviet Union),Europe,2009,42.9705,46.0174,1,1
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,1
Russia (Soviet Union),Europe,2009,43.1627,45.201,1,3
Russia (Soviet Union),Europe,2009,42.708,47.613,1,1
Russia (Soviet Union),Europe,2009,43.4846,43.6071,1,2
Russia (Soviet Union),Europe,2009,42.9849,47.5046,1,1
Russia (Soviet Union),Europe,2009,43.1617,45.199,1,1
Russia (Soviet Union),Europe,2009,43.3365,46.1927,1,1
Russia (Soviet Union),Europe,2009,43.4846,43.6071,1,1
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,2
Russia (Soviet Union),Europe,2009,43.1627,45.201,1,1
Russia (Soviet Union),Europe,2009,42.3741,47.655,1,1
Russia (Soviet Union),Europe,2009,43.1905,45.8318,1,3
Russia (Soviet Union),Europe,2009,43.1831,46.661,1,5
Russia (Soviet Union),Europe,2009,43.2953,45.8263,1,1
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,4
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,1
Russia (Soviet Union),Europe,2009,42.9801,45.0131,1,2
Russia (Soviet Union),Europe,2009,43.1617,45.199,1,1
Russia (Soviet Union),Europe,2009,43.2275,44.7646,1,1
Russia (Soviet Union),Europe,2009,43.468,43.8396,1,3
Russia (Soviet Union),Europe,2009,42.8625,45.756,1,2
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,1
Russia (Soviet Union),Europe,2009,43.2505,46.5851,1,1
Russia (Soviet Union),Europe,2009,43.4846,43.6071,1,4
Russia (Soviet Union),Europe,2009,43.122582,45.189887,1,10
Russia (Soviet Union),Europe,2009,42.9849,47.5046,1,1
Russia (Soviet Union),Europe,2009,43.2275,44.7646,1,2
Russia (Soviet Union),Europe,2009,43.2275,44.7646,1,0
Russia (Soviet Union),Europe,2009,43.3204,45.0477,1,1
Russia (Soviet Union),Europe,2009,42.9849,47.5046,1,1
Russia (Soviet Union),Europe,2009,43.134,46.1959,1,1
